Statistic Label,Month,Main Reason for Travel,UNIT,VALUE
Number of Overnight Trips by Foreign Visitors,2024 February,Holiday/leisure/recreation,Thousand,759.3
Number of Overnight Trips by Foreign Visitors,2024 February,Visit to friends/relatives,Thousand,1051.2
Number of Overnight Trips by Foreign Visitors,2024 February,Other reason for journey,Thousand,451.2
Number of Overnight Trips by Foreign Visitors,2024 February,All reasons for journey,Thousand,2669
Number of Overnight Trips by Foreign Visitors,2024 March,Business,Thousand,363.3
Number of Overnight Trips by Foreign Visitors,2024 March,Holiday/leisure/recreation,Thousand,1194.7
Number of Overnight Trips by Foreign Visitors,2024 March,Visit to friends/relatives,Thousand,997.4
Number of Overnight Trips by Foreign Visitors,2024 March,Other reason for journey,Thousand,554.5
Number of Overnight Trips by Foreign Visitors,2024 March,All reasons for journey,Thousand,3109.8
Number of Overnight Trips by Foreign Visitors,2024 April,Business,Thousand,453.9
Number of Overnight Trips by Foreign Visitors,2024 April,Holiday/leisure/recreation,Thousand,1287.8
Number of Overnight Trips by Foreign Visitors,2024 April,Visit to friends/relatives,Thousand,1354.7
Number of Overnight Trips by Foreign Visitors,2024 April,Other reason for journey,Thousand,391.9
Number of Overnight Trips by Foreign Visitors,2024 April,All reasons for journey,Thousand,3488.3
Number of Overnight Trips by Foreign Visitors,2024 May,Business,Thousand,473.9
Number of Overnight Trips by Foreign Visitors,2024 May,Holiday/leisure/recreation,Thousand,1759.2
Number of Overnight Trips by Foreign Visitors,2024 May,Visit to friends/relatives,Thousand,1266.6
Number of Overnight Trips by Foreign Visitors,2024 May,Other reason for journey,Thousand,962.4
Number of Overnight Trips by Foreign Visitors,2024 May,All reasons for journey,Thousand,4462.1
Number of Overnight Trips by Foreign Visitors,2024 June,Business,Thousand,611.9
Number of Overnight Trips by Foreign Visitors,2024 June,Holiday/leisure/recreation,Thousand,2122.3
Number of Overnight Trips by Foreign Visitors,2024 June,Visit to friends/relatives,Thousand,1375.5
Number of Overnight Trips by Foreign Visitors,2024 June,Other reason for journey,Thousand,767.2
Number of Overnight Trips by Foreign Visitors,2024 June,All reasons for journey,Thousand,4876.9
Number of Overnight Trips by Foreign Visitors,2024 July,Business,Thousand,526.1
Number of Overnight Trips by Foreign Visitors,2024 July,Holiday/leisure/recreation,Thousand,2291
Number of Overnight Trips by Foreign Visitors,2024 July,Visit to friends/relatives,Thousand,1711
Number of Overnight Trips by Foreign Visitors,2024 July,Other reason for journey,Thousand,764.4
Number of Overnight Trips by Foreign Visitors,2024 July,All reasons for journey,Thousand,5292.5
Number of Overnight Trips by Foreign Visitors,2024 August,Business,Thousand,527.4
Number of Overnight Trips by Foreign Visitors,2024 August,Holiday/leisure/recreation,Thousand,3116.4
Number of Overnight Trips by Foreign Visitors,2024 August,Visit to friends/relatives,Thousand,2313.3
Number of Overnight Trips by Foreign Visitors,2024 August,Other reason for journey,Thousand,709.2
Number of Overnight Trips by Foreign Visitors,2024 August,All reasons for journey,Thousand,6666.2
Number of Overnight Trips by Foreign Visitors,2024 September,Business,Thousand,419
Number of Overnight Trips by Foreign Visitors,2024 September,Holiday/leisure/recreation,Thousand,2186.3
Number of Overnight Trips by Foreign Visitors,2024 September,Visit to friends/relatives,Thousand,1407.4
Number of Overnight Trips by Foreign Visitors,2024 September,Other reason for journey,Thousand,490.2
Number of Overnight Trips by Foreign Visitors,2024 September,All reasons for journey,Thousand,4502.9
Number of Overnight Trips by Foreign Visitors,2024 October,Business,Thousand,399.6
Number of Overnight Trips by Foreign Visitors,2024 October,Holiday/leisure/recreation,Thousand,1577.7
Number of Overnight Trips by Foreign Visitors,2024 October,Visit to friends/relatives,Thousand,1253.6
Number of Overnight Trips by Foreign Visitors,2024 October,Other reason for journey,Thousand,643.6
Number of Overnight Trips by Foreign Visitors,2024 October,All reasons for journey,Thousand,3874.6
Number of Overnight Trips by Foreign Visitors,2024 November,Business,Thousand,301.2
Number of Overnight Trips by Foreign Visitors,2024 November,Holiday/leisure/recreation,Thousand,807.7
Number of Overnight Trips by Foreign Visitors,2024 November,Visit to friends/relatives,Thousand,945.2
Number of Overnight Trips by Foreign Visitors,2024 November,Other reason for journey,Thousand,476.4
Number of Overnight Trips by Foreign Visitors,2024 November,All reasons for journey,Thousand,2530.4
Number of Overnight Trips by Foreign Visitors,2024 December,Business,Thousand,386.6
Number of Overnight Trips by Foreign Visitors,2024 December,Holiday/leisure/recreation,Thousand,563.4
Number of Overnight Trips by Foreign Visitors,2024 December,Visit to friends/relatives,Thousand,1389.3
Number of Overnight Trips by Foreign Visitors,2024 December,Other reason for journey,Thousand,1516.6
Number of Overnight Trips by Foreign Visitors,2024 December,All reasons for journey,Thousand,3855.9
Number of Overnight Trips by Foreign Visitors,2025 January,Business,Thousand,214.4
Number of Overnight Trips by Foreign Visitors,2025 January,Holiday/leisure/recreation,Thousand,607.7
Number of Overnight Trips by Foreign Visitors,2025 January,Visit to friends/relatives,Thousand,1765.7
Number of Overnight Trips by Foreign Visitors,2025 January,Other reason for journey,Thousand,245.2
Number of Overnight Trips by Foreign Visitors,2025 January,All reasons for journey,Thousand,2833
Number of Overnight Trips by Foreign Visitors,2023 January,Business,%,6.2
Number of Overnight Trips by Foreign Visitors,2023 January,Holiday/leisure/recreation,%,16.4
Number of Overnight Trips by Foreign Visitors,2023 January,Visit to friends/relatives,%,61.9
Number of Overnight Trips by Foreign Visitors,2023 January,Other reason for journey,%,15.5
Number of Overnight Trips by Foreign Visitors,2023 January,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2023 February,Business,%,15.3
Number of Overnight Trips by Foreign Visitors,2023 February,Holiday/leisure/recreation,%,21.7
Number of Overnight Trips by Foreign Visitors,2023 February,Visit to friends/relatives,%,37.4
Number of Overnight Trips by Foreign Visitors,2023 February,Other reason for journey,%,25.6
Number of Overnight Trips by Foreign Visitors,2023 February,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2023 March,Business,%,9.9
Number of Overnight Trips by Foreign Visitors,2023 March,Holiday/leisure/recreation,%,28.9
Number of Overnight Trips by Foreign Visitors,2023 March,Visit to friends/relatives,%,32.2
Number of Overnight Trips by Foreign Visitors,2023 March,Other reason for journey,%,28.9
Number of Overnight Trips by Foreign Visitors,2023 March,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2023 April,Business,%,16.5
Number of Overnight Trips by Foreign Visitors,2023 April,Holiday/leisure/recreation,%,26.8
Number of Overnight Trips by Foreign Visitors,2023 April,Visit to friends/relatives,%,38.4
Number of Overnight Trips by Foreign Visitors,2023 April,Other reason for journey,%,18.3
Number of Overnight Trips by Foreign Visitors,2023 April,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2023 May,Business,%,10.4
Number of Overnight Trips by Foreign Visitors,2023 May,Holiday/leisure/recreation,%,33.4
Number of Overnight Trips by Foreign Visitors,2023 May,Visit to friends/relatives,%,30
Number of Overnight Trips by Foreign Visitors,2023 May,Other reason for journey,%,26.3
Number of Overnight Trips by Foreign Visitors,2023 May,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2023 June,Business,%,9.6
Number of Overnight Trips by Foreign Visitors,2023 June,Holiday/leisure/recreation,%,43.1
Number of Overnight Trips by Foreign Visitors,2023 June,Visit to friends/relatives,%,35.2
Number of Overnight Trips by Foreign Visitors,2023 June,Other reason for journey,%,12.1
Number of Overnight Trips by Foreign Visitors,2023 June,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2023 July,Business,%,7
Number of Overnight Trips by Foreign Visitors,2023 July,Holiday/leisure/recreation,%,39.3
Number of Overnight Trips by Foreign Visitors,2023 July,Visit to friends/relatives,%,38.8
Number of Overnight Trips by Foreign Visitors,2023 July,Other reason for journey,%,15
Number of Overnight Trips by Foreign Visitors,2023 July,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2023 August,Business,%,11.1
Number of Overnight Trips by Foreign Visitors,2023 August,Holiday/leisure/recreation,%,40.7
Number of Overnight Trips by Foreign Visitors,2023 August,Visit to friends/relatives,%,36.6
Number of Overnight Trips by Foreign Visitors,2023 August,Other reason for journey,%,11.5
Number of Overnight Trips by Foreign Visitors,2023 August,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2023 September,Business,%,10.9
Number of Overnight Trips by Foreign Visitors,2023 September,Holiday/leisure/recreation,%,45.5
Number of Overnight Trips by Foreign Visitors,2023 September,Visit to friends/relatives,%,36.2
Number of Overnight Trips by Foreign Visitors,2023 September,Other reason for journey,%,7.4
Number of Overnight Trips by Foreign Visitors,2023 September,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2023 October,Business,%,13.3
Number of Overnight Trips by Foreign Visitors,2023 October,Holiday/leisure/recreation,%,44.6
Number of Overnight Trips by Foreign Visitors,2023 October,Visit to friends/relatives,%,34.1
Number of Overnight Trips by Foreign Visitors,2023 October,Other reason for journey,%,7.9
Number of Overnight Trips by Foreign Visitors,2023 October,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2023 November,Business,%,15
Number of Overnight Trips by Foreign Visitors,2023 November,Holiday/leisure/recreation,%,29.9
Number of Overnight Trips by Foreign Visitors,2023 November,Visit to friends/relatives,%,42.3
Number of Overnight Trips by Foreign Visitors,2023 November,Other reason for journey,%,12.8
Number of Overnight Trips by Foreign Visitors,2023 November,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2023 December,Business,%,15
Number of Overnight Trips by Foreign Visitors,2023 December,Holiday/leisure/recreation,%,16.1
Number of Overnight Trips by Foreign Visitors,2023 December,Visit to friends/relatives,%,26
Number of Overnight Trips by Foreign Visitors,2023 December,Other reason for journey,%,42.9
Number of Overnight Trips by Foreign Visitors,2023 December,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2024 January,Business,%,7
Number of Overnight Trips by Foreign Visitors,2024 January,Holiday/leisure/recreation,%,23.9
Number of Overnight Trips by Foreign Visitors,2024 January,Visit to friends/relatives,%,57.8
Number of Overnight Trips by Foreign Visitors,2024 January,Other reason for journey,%,11.3
Number of Overnight Trips by Foreign Visitors,2024 January,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2024 February,Business,%,15.3
Number of Overnight Trips by Foreign Visitors,2024 February,Holiday/leisure/recreation,%,28.4
Number of Overnight Trips by Foreign Visitors,2024 February,Visit to friends/relatives,%,39.4
Number of Overnight Trips by Foreign Visitors,2024 February,Other reason for journey,%,16.9
Number of Overnight Trips by Foreign Visitors,2024 February,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2024 March,Business,%,11.7
Number of Overnight Trips by Foreign Visitors,2024 March,Holiday/leisure/recreation,%,38.4
Number of Overnight Trips by Foreign Visitors,2024 March,Visit to friends/relatives,%,32.1
Number of Overnight Trips by Foreign Visitors,2024 March,Other reason for journey,%,17.8
Number of Overnight Trips by Foreign Visitors,2024 March,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2024 April,Business,%,13
Number of Overnight Trips by Foreign Visitors,2024 April,Holiday/leisure/recreation,%,36.9
Number of Overnight Trips by Foreign Visitors,2024 April,Visit to friends/relatives,%,38.8
Number of Overnight Trips by Foreign Visitors,2024 April,Other reason for journey,%,11.2
Number of Overnight Trips by Foreign Visitors,2024 April,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2024 May,Business,%,10.6
Number of Overnight Trips by Foreign Visitors,2024 May,Holiday/leisure/recreation,%,39.4
Number of Overnight Trips by Foreign Visitors,2024 May,Visit to friends/relatives,%,28.4
Number of Overnight Trips by Foreign Visitors,2024 May,Other reason for journey,%,21.6
Number of Overnight Trips by Foreign Visitors,2024 May,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2024 June,Business,%,12.5
Number of Overnight Trips by Foreign Visitors,2024 June,Holiday/leisure/recreation,%,43.5
Number of Overnight Trips by Foreign Visitors,2024 June,Visit to friends/relatives,%,28.2
Number of Overnight Trips by Foreign Visitors,2024 June,Other reason for journey,%,15.7
Number of Overnight Trips by Foreign Visitors,2024 June,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2024 July,Business,%,9.9
Number of Overnight Trips by Foreign Visitors,2024 July,Holiday/leisure/recreation,%,43.3
Number of Overnight Trips by Foreign Visitors,2024 July,Visit to friends/relatives,%,32.3
Number of Overnight Trips by Foreign Visitors,2024 July,Other reason for journey,%,14.4
Number of Overnight Trips by Foreign Visitors,2024 July,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2024 August,Business,%,7.9
Number of Overnight Trips by Foreign Visitors,2024 August,Holiday/leisure/recreation,%,46.7
Number of Overnight Trips by Foreign Visitors,2024 August,Visit to friends/relatives,%,34.7
Number of Overnight Trips by Foreign Visitors,2024 August,Other reason for journey,%,10.6
Number of Overnight Trips by Foreign Visitors,2024 August,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2024 September,Business,%,9.3
Number of Overnight Trips by Foreign Visitors,2024 September,Holiday/leisure/recreation,%,48.6
Number of Overnight Trips by Foreign Visitors,2024 September,Visit to friends/relatives,%,31.3
Number of Overnight Trips by Foreign Visitors,2024 September,Other reason for journey,%,10.9
Number of Overnight Trips by Foreign Visitors,2024 September,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2024 October,Business,%,10.3
Number of Overnight Trips by Foreign Visitors,2024 October,Holiday/leisure/recreation,%,40.7
Number of Overnight Trips by Foreign Visitors,2024 October,Visit to friends/relatives,%,32.4
Number of Overnight Trips by Foreign Visitors,2024 October,Other reason for journey,%,16.6
Number of Overnight Trips by Foreign Visitors,2024 October,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2024 November,Business,%,11.9
Number of Overnight Trips by Foreign Visitors,2024 November,Holiday/leisure/recreation,%,31.9
Number of Overnight Trips by Foreign Visitors,2024 November,Visit to friends/relatives,%,37.4
Number of Overnight Trips by Foreign Visitors,2024 November,Other reason for journey,%,18.8
Number of Overnight Trips by Foreign Visitors,2024 November,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2024 December,Business,%,10
Number of Overnight Trips by Foreign Visitors,2024 December,Holiday/leisure/recreation,%,14.6
Number of Overnight Trips by Foreign Visitors,2024 December,Visit to friends/relatives,%,36
Number of Overnight Trips by Foreign Visitors,2024 December,Other reason for journey,%,39.3
Number of Overnight Trips by Foreign Visitors,2024 December,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2025 January,Business,%,7.6
Number of Overnight Trips by Foreign Visitors,2025 January,Holiday/leisure/recreation,%,21.5
Number of Overnight Trips by Foreign Visitors,2025 January,Visit to friends/relatives,%,62.3
Number of Overnight Trips by Foreign Visitors,2025 January,Other reason for journey,%,8.7
Number of Overnight Trips by Foreign Visitors,2025 January,All reasons for journey,%,100
Number of Overnight Trips by Foreign Visitors,2023 January,Business,Nights per trip,4.6
Number of Overnight Trips by Foreign Visitors,2023 January,Holiday/leisure/recreation,Nights per trip,5.6
Number of Overnight Trips by Foreign Visitors,2023 January,Visit to friends/relatives,Nights per trip,10.6
Number of Overnight Trips by Foreign Visitors,2023 January,Other reason for journey,Nights per trip,22.8
Number of Overnight Trips by Foreign Visitors,2023 January,All reasons for journey,Nights per trip,9.2
Number of Overnight Trips by Foreign Visitors,2023 February,Business,Nights per trip,5.8
Number of Overnight Trips by Foreign Visitors,2023 February,Holiday/leisure/recreation,Nights per trip,5.4
Number of Overnight Trips by Foreign Visitors,2023 February,Visit to friends/relatives,Nights per trip,6.7
Number of Overnight Trips by Foreign Visitors,2023 February,Other reason for journey,Nights per trip,16.2
Number of Overnight Trips by Foreign Visitors,2023 February,All reasons for journey,Nights per trip,7.3
Number of Overnight Trips by Foreign Visitors,2023 March,Business,Nights per trip,4.2
Number of Overnight Trips by Foreign Visitors,2023 March,Holiday/leisure/recreation,Nights per trip,5.5
Number of Overnight Trips by Foreign Visitors,2023 March,Visit to friends/relatives,Nights per trip,6.8
Number of Overnight Trips by Foreign Visitors,2023 March,Other reason for journey,Nights per trip,24.4
Number of Overnight Trips by Foreign Visitors,2023 March,All reasons for journey,Nights per trip,7.4
Number of Overnight Trips by Foreign Visitors,2023 April,Business,Nights per trip,9.6
Number of Overnight Trips by Foreign Visitors,2023 April,Holiday/leisure/recreation,Nights per trip,5.8
Number of Overnight Trips by Foreign Visitors,2023 April,Visit to friends/relatives,Nights per trip,7.1
Number of Overnight Trips by Foreign Visitors,2023 April,Other reason for journey,Nights per trip,20.5
Number of Overnight Trips by Foreign Visitors,2023 April,All reasons for journey,Nights per trip,7.9
Number of Overnight Trips by Foreign Visitors,2023 May,Business,Nights per trip,6.3
Number of Overnight Trips by Foreign Visitors,2023 May,Holiday/leisure/recreation,Nights per trip,6.6
Number of Overnight Trips by Foreign Visitors,2023 May,Visit to friends/relatives,Nights per trip,6.5
Number of Overnight Trips by Foreign Visitors,2023 May,Other reason for journey,Nights per trip,17.8
Number of Overnight Trips by Foreign Visitors,2023 May,All reasons for journey,Nights per trip,7.8
Number of Overnight Trips by Foreign Visitors,2023 June,Business,Nights per trip,4.9
Number of Overnight Trips by Foreign Visitors,2023 June,Holiday/leisure/recreation,Nights per trip,7.4
Number of Overnight Trips by Foreign Visitors,2023 June,Visit to friends/relatives,Nights per trip,7.7
Number of Overnight Trips by Foreign Visitors,2023 June,Other reason for journey,Nights per trip,8.9
Number of Overnight Trips by Foreign Visitors,2023 June,All reasons for journey,Nights per trip,7.3
Number of Overnight Trips by Foreign Visitors,2023 July,Business,Nights per trip,5.5
Number of Overnight Trips by Foreign Visitors,2023 July,Holiday/leisure/recreation,Nights per trip,7.6
Number of Overnight Trips by Foreign Visitors,2023 July,Visit to friends/relatives,Nights per trip,9.6
Number of Overnight Trips by Foreign Visitors,2023 July,Other reason for journey,Nights per trip,14.4
Number of Overnight Trips by Foreign Visitors,2023 July,All reasons for journey,Nights per trip,8.7
Number of Overnight Trips by Foreign Visitors,2023 August,Business,Nights per trip,10
Number of Overnight Trips by Foreign Visitors,2023 August,Holiday/leisure/recreation,Nights per trip,8.6
Number of Overnight Trips by Foreign Visitors,2023 August,Visit to friends/relatives,Nights per trip,10.8
Number of Overnight Trips by Foreign Visitors,2023 August,Other reason for journey,Nights per trip,14.4
Number of Overnight Trips by Foreign Visitors,2023 August,All reasons for journey,Nights per trip,9.9
Number of Overnight Trips by Foreign Visitors,2023 September,Business,Nights per trip,5.2
Number of Overnight Trips by Foreign Visitors,2023 September,Holiday/leisure/recreation,Nights per trip,7.7
Number of Overnight Trips by Foreign Visitors,2023 September,Visit to friends/relatives,Nights per trip,9.1
Number of Overnight Trips by Foreign Visitors,2023 September,Other reason for journey,Nights per trip,13.8
Number of Overnight Trips by Foreign Visitors,2023 September,All reasons for journey,Nights per trip,8
Number of Overnight Trips by Foreign Visitors,2023 October,Business,Nights per trip,5.8
Number of Overnight Trips by Foreign Visitors,2023 October,Holiday/leisure/recreation,Nights per trip,6.6
Number of Overnight Trips by Foreign Visitors,2023 October,Visit to friends/relatives,Nights per trip,7.4
Number of Overnight Trips by Foreign Visitors,2023 October,Other reason for journey,Nights per trip,8.7
Number of Overnight Trips by Foreign Visitors,2023 October,All reasons for journey,Nights per trip,6.9
Number of Overnight Trips by Foreign Visitors,2023 November,Business,Nights per trip,5.5
Number of Overnight Trips by Foreign Visitors,2023 November,Holiday/leisure/recreation,Nights per trip,5.2
Number of Overnight Trips by Foreign Visitors,2023 November,Visit to friends/relatives,Nights per trip,8
Number of Overnight Trips by Foreign Visitors,2023 November,Other reason for journey,Nights per trip,17.6
Number of Overnight Trips by Foreign Visitors,2023 November,All reasons for journey,Nights per trip,6.9
Number of Overnight Trips by Foreign Visitors,2023 December,Business,Nights per trip,8.6
Number of Overnight Trips by Foreign Visitors,2023 December,Holiday/leisure/recreation,Nights per trip,5
Number of Overnight Trips by Foreign Visitors,2023 December,Visit to friends/relatives,Nights per trip,6.5
Number of Overnight Trips by Foreign Visitors,2023 December,Other reason for journey,Nights per trip,47.1
Number of Overnight Trips by Foreign Visitors,2023 December,All reasons for journey,Nights per trip,10.1
Number of Overnight Trips by Foreign Visitors,2024 January,Business,Nights per trip,4.6
Number of Overnight Trips by Foreign Visitors,2024 January,Holiday/leisure/recreation,Nights per trip,5.7
Number of Overnight Trips by Foreign Visitors,2024 January,Visit to friends/relatives,Nights per trip,10.4
Number of Overnight Trips by Foreign Visitors,2024 January,Other reason for journey,Nights per trip,19.5
Number of Overnight Trips by Foreign Visitors,2024 January,All reasons for journey,Nights per trip,8.4
Number of Overnight Trips by Foreign Visitors,2024 February,Business,Nights per trip,4.6
Number of Overnight Trips by Foreign Visitors,2024 February,Holiday/leisure/recreation,Nights per trip,4.9
Number of Overnight Trips by Foreign Visitors,2024 February,Visit to friends/relatives,Nights per trip,6.7
Number of Overnight Trips by Foreign Visitors,2024 February,Other reason for journey,Nights per trip,13.7
Number of Overnight Trips by Foreign Visitors,2024 February,All reasons for journey,Nights per trip,6.2
Number of Overnight Trips by Foreign Visitors,2024 March,Business,Nights per trip,4.4
Number of Overnight Trips by Foreign Visitors,2024 March,Holiday/leisure/recreation,Nights per trip,4.9
Number of Overnight Trips by Foreign Visitors,2024 March,Visit to friends/relatives,Nights per trip,6.5
Number of Overnight Trips by Foreign Visitors,2024 March,Other reason for journey,Nights per trip,12.8
Number of Overnight Trips by Foreign Visitors,2024 March,All reasons for journey,Nights per trip,6
Number of Overnight Trips by Foreign Visitors,2024 April,Business,Nights per trip,5.2
Number of Overnight Trips by Foreign Visitors,2024 April,Holiday/leisure/recreation,Nights per trip,5.6
Number of Overnight Trips by Foreign Visitors,2024 April,Visit to friends/relatives,Nights per trip,6.9
Number of Overnight Trips by Foreign Visitors,2024 April,Other reason for journey,Nights per trip,10.6
Number of Overnight Trips by Foreign Visitors,2024 April,All reasons for journey,Nights per trip,6.4
Number of Overnight Trips by Foreign Visitors,2024 May,Business,Nights per trip,5
Number of Overnight Trips by Foreign Visitors,2024 May,Holiday/leisure/recreation,Nights per trip,6.3
Number of Overnight Trips by Foreign Visitors,2024 May,Visit to friends/relatives,Nights per trip,7
Number of Overnight Trips by Foreign Visitors,2024 May,Other reason for journey,Nights per trip,14.9
Number of Overnight Trips by Foreign Visitors,2024 May,All reasons for journey,Nights per trip,7.2
Number of Overnight Trips by Foreign Visitors,2024 June,Business,Nights per trip,5.7
Number of Overnight Trips by Foreign Visitors,2024 June,Holiday/leisure/recreation,Nights per trip,6.9
Number of Overnight Trips by Foreign Visitors,2024 June,Visit to friends/relatives,Nights per trip,7.2
Number of Overnight Trips by Foreign Visitors,2024 June,Other reason for journey,Nights per trip,11.8
Number of Overnight Trips by Foreign Visitors,2024 June,All reasons for journey,Nights per trip,7.3
Number of Overnight Trips by Foreign Visitors,2024 July,Business,Nights per trip,6.1
Number of Overnight Trips by Foreign Visitors,2024 July,Holiday/leisure/recreation,Nights per trip,7.7
Number of Overnight Trips by Foreign Visitors,2024 July,Visit to friends/relatives,Nights per trip,8.7
Number of Overnight Trips by Foreign Visitors,2024 July,Other reason for journey,Nights per trip,10.6
Number of Overnight Trips by Foreign Visitors,2024 July,All reasons for journey,Nights per trip,8.1
Number of Overnight Trips by Foreign Visitors,2024 August,Business,Nights per trip,7
Number of Overnight Trips by Foreign Visitors,2024 August,Holiday/leisure/recreation,Nights per trip,8.4
Number of Overnight Trips by Foreign Visitors,2024 August,Visit to friends/relatives,Nights per trip,9.4
Number of Overnight Trips by Foreign Visitors,2024 August,Other reason for journey,Nights per trip,10.4
Number of Overnight Trips by Foreign Visitors,2024 August,All reasons for journey,Nights per trip,8.7
Number of Overnight Trips by Foreign Visitors,2024 September,Business,Nights per trip,4.9
Number of Overnight Trips by Foreign Visitors,2024 September,Holiday/leisure/recreation,Nights per trip,8
Number of Overnight Trips by Foreign Visitors,2024 September,Visit to friends/relatives,Nights per trip,8.5
Number of Overnight Trips by Foreign Visitors,2024 September,Other reason for journey,Nights per trip,9.2
Number of Overnight Trips by Foreign Visitors,2024 September,All reasons for journey,Nights per trip,7.8
Number of Overnight Trips by Foreign Visitors,2024 October,Business,Nights per trip,4.3
Number of Overnight Trips by Foreign Visitors,2024 October,Holiday/leisure/recreation,Nights per trip,6.5
Number of Overnight Trips by Foreign Visitors,2024 October,Visit to friends/relatives,Nights per trip,7.6
Number of Overnight Trips by Foreign Visitors,2024 October,Other reason for journey,Nights per trip,13.1
Number of Overnight Trips by Foreign Visitors,2024 October,All reasons for journey,Nights per trip,7.1
Number of Overnight Trips by Foreign Visitors,2024 November,Business,Nights per trip,3.9
Number of Overnight Trips by Foreign Visitors,2024 November,Holiday/leisure/recreation,Nights per trip,5.8
Number of Overnight Trips by Foreign Visitors,2024 November,Visit to friends/relatives,Nights per trip,6.3
Number of Overnight Trips by Foreign Visitors,2024 November,Other reason for journey,Nights per trip,11.9
Number of Overnight Trips by Foreign Visitors,2024 November,All reasons for journey,Nights per trip,6.2
Number of Overnight Trips by Foreign Visitors,2024 December,Business,Nights per trip,6.9
Number of Overnight Trips by Foreign Visitors,2024 December,Holiday/leisure/recreation,Nights per trip,5.2
Number of Overnight Trips by Foreign Visitors,2024 December,Visit to friends/relatives,Nights per trip,7.5
Number of Overnight Trips by Foreign Visitors,2024 December,Other reason for journey,Nights per trip,35.6
Number of Overnight Trips by Foreign Visitors,2024 December,All reasons for journey,Nights per trip,9.9
Number of Overnight Trips by Foreign Visitors,2025 January,Business,Nights per trip,4.2
Number of Overnight Trips by Foreign Visitors,2025 January,Holiday/leisure/recreation,Nights per trip,6.6
Number of Overnight Trips by Foreign Visitors,2025 January,Visit to friends/relatives,Nights per trip,10
Number of Overnight Trips by Foreign Visitors,2025 January,Other reason for journey,Nights per trip,13.8
Number of Overnight Trips by Foreign Visitors,2025 January,All reasons for journey,Nights per trip,8.4
