Statistic Label,Monthly,Residency,UNIT,VALUE
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 January,"Great Britain (England, Scotland & Wales)",Euro,94
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 January,Other Europe (3),Euro,57
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 January,USA & Canada,Euro,88
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 January,Other Residencies,Euro,51
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 January,All Residencies,Euro,73
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 February,"Great Britain (England, Scotland & Wales)",Euro,91
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 February,Other Europe (3),Euro,58
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 February,USA & Canada,Euro,93
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 February,Other Residencies,Euro,58
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 February,All Residencies,Euro,75
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 March,"Great Britain (England, Scotland & Wales)",Euro,98
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 March,Other Europe (3),Euro,56
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 March,USA & Canada,Euro,99
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 March,Other Residencies,Euro,56
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 March,All Residencies,Euro,77
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 April,"Great Britain (England, Scotland & Wales)",Euro,80.8
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 April,Other Europe (3),Euro,77.3
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 April,USA & Canada,Euro,92.4
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 April,Other Residencies,Euro,85.2
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 April,All Residencies,Euro,81.4
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 May,"Great Britain (England, Scotland & Wales)",Euro,97.8
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 May,Other Europe (3),Euro,69.8
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 May,USA & Canada,Euro,111.1
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 May,Other Residencies,Euro,89.2
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 May,All Residencies,Euro,82.3
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 June,"Great Britain (England, Scotland & Wales)",Euro,96.7
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 June,Other Europe (3),Euro,92
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 June,USA & Canada,Euro,122.4
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 June,Other Residencies,Euro,114
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 June,All Residencies,Euro,101.1
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 July,"Great Britain (England, Scotland & Wales)",Euro,84.8
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 July,Other Europe (3),Euro,76.9
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 July,USA & Canada,Euro,124.5
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 July,Other Residencies,Euro,80.6
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 July,All Residencies,Euro,86.1
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 August,"Great Britain (England, Scotland & Wales)",Euro,88.7
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 August,Other Europe (3),Euro,72.9
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 August,USA & Canada,Euro,119.9
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 August,Other Residencies,Euro,104.5
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 August,All Residencies,Euro,87.3
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 September,"Great Britain (England, Scotland & Wales)",Euro,95.4
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 September,Other Europe (3),Euro,101.8
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 September,USA & Canada,Euro,145.1
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 September,Other Residencies,Euro,99.1
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 September,All Residencies,Euro,108
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 October,"Great Britain (England, Scotland & Wales)",Euro,106.1
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 October,Other Europe (3),Euro,92.1
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 October,USA & Canada,Euro,119.4
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 October,Other Residencies,Euro,112
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 October,All Residencies,Euro,101.2
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 November,"Great Britain (England, Scotland & Wales)",Euro,117.7
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 November,Other Europe (3),Euro,82.3
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 November,USA & Canada,Euro,98.1
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 November,Other Residencies,Euro,81
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 November,All Residencies,Euro,87.6
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 December,"Great Britain (England, Scotland & Wales)",Euro,78
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 December,Other Europe (3),Euro,66
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 December,USA & Canada,Euro,61
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 December,Other Residencies,Euro,55
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2023 December,All Residencies,Euro,64
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 January,"Great Britain (England, Scotland & Wales)",Euro,97
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 January,Other Europe (3),Euro,76
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 January,USA & Canada,Euro,76
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 January,Other Residencies,Euro,83
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 January,All Residencies,Euro,79
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024  February,"Great Britain (England, Scotland & Wales)",Euro,101
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024  February,Other Europe (3),Euro,65
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024  February,USA & Canada,Euro,96
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024  February,Other Residencies,Euro,102
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024  February,All Residencies,Euro,91
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 March,"Great Britain (England, Scotland & Wales)",Euro,104
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 March,Other Europe (3),Euro,91
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 March,USA & Canada,Euro,124
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 March,Other Residencies,Euro,101
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 March,All Residencies,Euro,105
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 April,"Great Britain (England, Scotland & Wales)",Euro,103
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 April,Other Europe (3),Euro,87
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 April,USA & Canada,Euro,113
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 April,Other Residencies,Euro,77
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 April,All Residencies,Euro,95
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 May,"Great Britain (England, Scotland & Wales)",Euro,105
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 May,Other Europe (3),Euro,86
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 May,USA & Canada,Euro,121
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 May,Other Residencies,Euro,74
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 May,All Residencies,Euro,97
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 June,"Great Britain (England, Scotland & Wales)",Euro,110
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 June,Other Europe (3),Euro,87
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 June,USA & Canada,Euro,120
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 June,Other Residencies,Euro,90
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 June,All Residencies,Euro,102
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 July,"Great Britain (England, Scotland & Wales)",Euro,108
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 July,Other Europe (3),Euro,79
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 July,USA & Canada,Euro,113
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 July,Other Residencies,Euro,80
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 July,All Residencies,Euro,95
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 August,"Great Britain (England, Scotland & Wales)",Euro,96
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 August,Other Europe (3),Euro,78
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 August,USA & Canada,Euro,120
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 August,Other Residencies,Euro,85
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 August,All Residencies,Euro,95
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 September,"Great Britain (England, Scotland & Wales)",Euro,105
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 September,Other Europe (3),Euro,102
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 September,USA & Canada,Euro,137
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 September,Other Residencies,Euro,78
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 September,All Residencies,Euro,105
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 October,"Great Britain (England, Scotland & Wales)",Euro,110
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 October,Other Europe (3),Euro,86
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 October,USA & Canada,Euro,130
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 October,Other Residencies,Euro,90
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 October,All Residencies,Euro,104
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 November,"Great Britain (England, Scotland & Wales)",Euro,106
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 November,Other Europe (3),Euro,87
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 November,USA & Canada,Euro,113
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 November,Other Residencies,Euro,76
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 November,All Residencies,Euro,96
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 December,"Great Britain (England, Scotland & Wales)",Euro,84
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 December,Other Europe (3),Euro,51
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 December,USA & Canada,Euro,57
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 December,Other Residencies,Euro,43
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2024 December,All Residencies,Euro,59
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2025 January,"Great Britain (England, Scotland & Wales)",Euro,99
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2025 January,Other Europe (3),Euro,70
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2025 January,USA & Canada,Euro,99
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2025 January,Other Residencies,Euro,84
Mean Nightly Accommodation Costs of Overnight Foreign Visitors,2025 January,All Residencies,Euro,88
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 January,"Great Britain (England, Scotland & Wales)",Euro,60
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 January,Other Europe (3),Euro,56
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 January,USA & Canada,Euro,69
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 January,Other Residencies,Euro,57
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 January,All Residencies,Euro,59
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 February,"Great Britain (England, Scotland & Wales)",Euro,78
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 February,Other Europe (3),Euro,74
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 February,USA & Canada,Euro,81
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 February,Other Residencies,Euro,56
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 February,All Residencies,Euro,76
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 March,"Great Britain (England, Scotland & Wales)",Euro,84
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 March,Other Europe (3),Euro,69
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 March,USA & Canada,Euro,88
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 March,Other Residencies,Euro,72
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 March,All Residencies,Euro,79
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 April,"Great Britain (England, Scotland & Wales)",Euro,69.7
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 April,Other Europe (3),Euro,66.9
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 April,USA & Canada,Euro,83.1
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 April,Other Residencies,Euro,72.5
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 April,All Residencies,Euro,71.1
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 May,"Great Britain (England, Scotland & Wales)",Euro,77.9
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 May,Other Europe (3),Euro,65.9
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 May,USA & Canada,Euro,83.1
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 May,Other Residencies,Euro,59.2
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 May,All Residencies,Euro,73.5
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 June,"Great Britain (England, Scotland & Wales)",Euro,79
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 June,Other Europe (3),Euro,63.5
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 June,USA & Canada,Euro,89.2
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 June,Other Residencies,Euro,69.1
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 June,All Residencies,Euro,76.6
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 July,"Great Britain (England, Scotland & Wales)",Euro,71
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 July,Other Europe (3),Euro,60.4
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 July,USA & Canada,Euro,79.2
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 July,Other Residencies,Euro,61.3
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 July,All Residencies,Euro,69
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 August,"Great Britain (England, Scotland & Wales)",Euro,62.4
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 August,Other Europe (3),Euro,60.7
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 August,USA & Canada,Euro,75.9
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 August,Other Residencies,Euro,61.9
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 August,All Residencies,Euro,64.8
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 September,"Great Britain (England, Scotland & Wales)",Euro,69
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 September,Other Europe (3),Euro,67
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 September,USA & Canada,Euro,88.5
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 September,Other Residencies,Euro,72.7
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 September,All Residencies,Euro,73.3
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 October,"Great Britain (England, Scotland & Wales)",Euro,71.6
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 October,Other Europe (3),Euro,70.7
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 October,USA & Canada,Euro,87.6
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 October,Other Residencies,Euro,79
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 October,All Residencies,Euro,75.6
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 November,"Great Britain (England, Scotland & Wales)",Euro,79.4
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 November,Other Europe (3),Euro,74.2
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 November,USA & Canada,Euro,83.2
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 November,Other Residencies,Euro,71.8
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 November,All Residencies,Euro,77.8
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 December,"Great Britain (England, Scotland & Wales)",Euro,75
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 December,Other Europe (3),Euro,79
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 December,USA & Canada,Euro,79
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 December,Other Residencies,Euro,59
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2023 December,All Residencies,Euro,76
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 January,"Great Britain (England, Scotland & Wales)",Euro,74
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 January,Other Europe (3),Euro,63
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 January,USA & Canada,Euro,81
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 January,Other Residencies,Euro,65
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 January,All Residencies,Euro,70
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024  February,"Great Britain (England, Scotland & Wales)",Euro,85
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024  February,Other Europe (3),Euro,78
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024  February,USA & Canada,Euro,92
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024  February,Other Residencies,Euro,70
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024  February,All Residencies,Euro,83
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 March,"Great Britain (England, Scotland & Wales)",Euro,88
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 March,Other Europe (3),Euro,84
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 March,USA & Canada,Euro,101
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 March,Other Residencies,Euro,80
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 March,All Residencies,Euro,89
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 April,"Great Britain (England, Scotland & Wales)",Euro,79
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 April,Other Europe (3),Euro,74
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 April,USA & Canada,Euro,89
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 April,Other Residencies,Euro,68
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 April,All Residencies,Euro,79
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 May,"Great Britain (England, Scotland & Wales)",Euro,81
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 May,Other Europe (3),Euro,81
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 May,USA & Canada,Euro,95
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 May,Other Residencies,Euro,75
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 May,All Residencies,Euro,84
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 June,"Great Britain (England, Scotland & Wales)",Euro,84
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 June,Other Europe (3),Euro,81
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 June,USA & Canada,Euro,105
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 June,Other Residencies,Euro,83
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 June,All Residencies,Euro,89
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 July,"Great Britain (England, Scotland & Wales)",Euro,91
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 July,Other Europe (3),Euro,68
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 July,USA & Canada,Euro,88
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 July,Other Residencies,Euro,69
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 July,All Residencies,Euro,81
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 August,"Great Britain (England, Scotland & Wales)",Euro,78
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 August,Other Europe (3),Euro,73
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 August,USA & Canada,Euro,97
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 August,Other Residencies,Euro,68
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 August,All Residencies,Euro,80
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 September,"Great Britain (England, Scotland & Wales)",Euro,81
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 September,Other Europe (3),Euro,84
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 September,USA & Canada,Euro,101
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 September,Other Residencies,Euro,70
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 September,All Residencies,Euro,87
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 October,"Great Britain (England, Scotland & Wales)",Euro,85
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 October,Other Europe (3),Euro,80
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 October,USA & Canada,Euro,99
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 October,Other Residencies,Euro,72
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 October,All Residencies,Euro,86
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 November,"Great Britain (England, Scotland & Wales)",Euro,85
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 November,Other Europe (3),Euro,82
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 November,USA & Canada,Euro,96
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 November,Other Residencies,Euro,78
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 November,All Residencies,Euro,85
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 December,"Great Britain (England, Scotland & Wales)",Euro,88
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 December,Other Europe (3),Euro,71
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 December,USA & Canada,Euro,78
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 December,Other Residencies,Euro,69
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2024 December,All Residencies,Euro,79
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2025 January,"Great Britain (England, Scotland & Wales)",Euro,71
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2025 January,Other Europe (3),Euro,66
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2025 January,USA & Canada,Euro,68
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2025 January,Other Residencies,Euro,59
Mean Day-to-Day Expenditure of Overnight Foreign Visitors,2025 January,All Residencies,Euro,68
